project,Region,country,Status(as of 2025.1Q),Total_Cash_Cost,Capacity
Salar de Atacama I,South America,Chile,Existing operations,6518.115316113661,84.5
Salar de Atacama II,South America,Chile,Existing operations,6518.115316113661,210.0
Olaroz,South America,Argentina,Existing operations,6924.080400000001,42.5
Salar del Hombre Muerto,South America,Argentina,Existing operations,7610.369300546326,51.2
Chaerhan Lake,Asia,china,Existing operations,9426.19624119661,38.771974
Yiliping,Asia,China,Existing operations,22107.780364899536,14.0
Silver Peak,North America,United States,Existing operations,9451.22672791544,6.0
Cauchari-Olaroz,South America,Argentina,Existing operations,10056.782400000002,40.0
East Taijnar,Asia,China,Existing operations,9996.752562340114,20.0
West Taijnar I,Asia,China,Existing operations,10229.96276241484,10.0
West Taijnar II,Asia,China,Existing operations,10457.83803300219,5.0
West Taijnar III,Asia,China,Existing operations,11025.66705268411,20.0
Sal de Oro,South America,Argentina,Existing operations,12872.008901120018,22.0
Sal de Vida,South America,Argentina,Committed projects,12353.022140264113,15.0
Salar del Rincón I,South America,Argentina,Existing operations,17947.0,2.0
Salar del Rincón II,South America,Argentina,Committed projects,12432.126070381455,3.0
Maricunga,South America,Chile,Speculative projects,12629.066683713554,15.2
Salar de Uyuni,South America,Bolivia,Speculative projects,19600.0,25.0
Qarhan I,Asia,China,Existing operations,23650.0,10.0
Qarhan II,Asia,China,Existing operations,10249.886855718209,40.0
Balun Mahai,Asia,China,Existing operations,22550.0,3.0
Paradox,North America,United States,Speculative projects,22770.0,13.07
Kachi,South America,Argentina,Speculative projects,10142.78751631923,18.0
Upper Rhine Valley,Europe,Germany,Speculative projects,15354.092510956541,35.2
Hell's Kitchen,North America,United States,Speculative projects,16174.037346826019,10.0
Centenario-Ratones,South America,Brazil,Existing operations,12584.169283234898,24.0
Lakkor Tso Salt Lake,Asia,China,Existing operations,8329.278502557512,11.869902
Pastos Grandes,South America,Argentina,Speculative projects,11657.356481722269,24.0
Tres Quebradas,South America,Argentina,Committed projects,7000.0,20.0
Zabuye,Asia,China,Existing operations,5849.60844281142,5.0
Baqiancuo,Asia,China,Existing operations,9500.0,10.0
Da Qaidam I,Asia,China,Existing operations,14455.231239739773,5.0
Jiezechaka,Asia,China,Existing operations,8918.28818673015,9.0
El Dorado,North America,United States,Speculative projects,13818.73231646484,5.4
Prairie,North America,Canada,Speculative projects,18949.759742635022,2.0
Sal de los Angeles,South America,Argentina,Existing operations,10720.06115661863,8.0
Tolillar,South America,Argentina,Speculative projects,11568.2604955992,25.0
Clearwater,North America,Canada,Possible projects,13937.95145560574,28.38
Great Salt Lake,North America,United States,Existing operations,11248.34643201336,9.0
Centenario-Ratones,South America,Argentina,Existing operations,12584.1692832349,24.0
Hombre Muerto West,South America,Argentina,Committed projects,12119.372001717651,30.0
Salar de Llullaillaco,South America,Argentina,Existing operations,11962.21257509191,17.42
Salar del Rincón II,South America,Argentina,Committed projects,12432.126070381459,3.0
Silver Peak Phase 2,North America,United States,Possible projects,15209.9780391043,5.0
Laguocuo,Asia,China,Committed projects,11147.45898760657,18.0
Qarhan II Phase 2,Asia,China,Committed projects,10249.886855718209,37.0
Zabuye Phase 2,Asia,China,Existing operations,8482.547362327401,12.0
Sal de Oro Phase 2,South America,Argentina,Probable projects,14182.53536311891,0.0
Salar de Atacama I Phase 4,South America,Chile,Probable projects,12530.69769121166,40.0
Salar de Atacama II Phase 5,South America,Chile,Probable projects,12530.69769121166,38.8
Salar de Atacama II Phase 6,South America,Chile,Probable projects,10947.40134441718,70.0
Salar del Hombre Muerto Phase 3,South America,Argentina,Probable projects,12138.472586840811,30.0
East Taijnar Phase 2,Asia,China,Probable projects,10523.80286486723,10.0
Jiezechaka Phase 2,Asia,China,Probable projects,11147.45898760657,18.0
Cauchari,South America,Argentina,Possible projects,13221.133176134988,25.0
Cauchari-Olaroz Phase 2,South America,Argentina,Possible projects,11749.69557795382,20.0
Centenario-Ratones Phase 2,South America,Argentina,Speculative projects,9346.763154580372,50.0
Doncella,South America,Argentina,Speculative projects,14178.724109781158,3.0
Pozuelos,South America,Argentina,Possible projects,13221.133176134988,25.0
Sal de Oro Phase 3,South America,Argentina,Possible projects,14182.53536311891,0.0
Sal de Vida Phase 2,South America,Argentina,Possible projects,14182.53536311891,0.0
Salar del Rincón I Phase 2,South America,Argentina,Possible projects,11994.09436585657,10.0
Salar del Rincón II Phase 2,South America,Argentina,Speculative projects,13240.23376125816,25.0
Tres Quebradas Phase 2,South America,Argentina,Possible projects,12119.372001717651,30.0
Laguocuo Phase 2,Asia,China,Possible projects,11052.596582242391,21.75
Qarhan I Phase 2,Asia,China,Possible projects,10523.80286486723,10.0
Qarhan II Phase 3,Asia,China,Possible projects,10760.655542787808,30.0
West Taijnar I Phase 2,Asia,China,Possible projects,11773.61977488844,25.0
Alkali Lake Valley,North America,United States,Speculative projects,17418.27434010087,0.0
Arizaro,South America,Argentina,Speculative projects,14546.70161511014,0.0
Cauchari East,South America,Argentina,Speculative projects,14182.53536311891,0.0
Clayton Valley II,North America,United States,Speculative projects,19120.04810794624,10.0
Fish Lake Valley,North America,United States,Speculative projects,17164.25427243777,0.0
Guayatoyoc,South America,Argentina,Speculative projects,14546.70161511014,0.0
Kachi Phase 2,South America,Argentina,Speculative projects,14546.70161511014,0.0
Laguna Verde,South America,Argentina,Speculative projects,14182.53536311891,0.0
Magnolia,North America,United States,Speculative projects,20297.62172504756,0.0
North Big Smoky,North America,United States,Speculative projects,17418.27434010087,0.0
Ogden,North America,United States,Speculative projects,14784.90483457572,35.0
Perico,South America,Argentina,Speculative projects,12013.194950979729,10.0
Salar de Coipasa,South America,Bolivia,Speculative projects,14236.465636155981,25.0
Salar de Uyuni II,South America,Bolivia,Speculative projects,15189.62350580537,14.0
South West Arkansas,North America,United States,Speculative projects,20297.62172504756,0.0
Tonopah I,North America,United States,Speculative projects,17418.27434010087,0.0
Da Qaidam I Phase 2,Asia,China,Speculative projects,10565.65072116382,10.75
Da Qaidam II,Asia,China,Speculative projects,14730.004536057899,0.0
Dazhou,Asia,China,Speculative projects,15100.84258783597,0.0
Haixiliang,Asia,China,Speculative projects,15100.84258783597,0.0
Jiezechaka Phase 3,Asia,China,Speculative projects,15100.84258783597,0.0
West Taijnar II Phase 2,Asia,China,Speculative projects,11107.0938083798,14.9
EuGeLi,Europe,France,Speculative projects,19175.18809970298,10.0
Lazio,Europe,Italy,Speculative projects,24142.021792378688,0.0
Yelonggou,Asia,China,Existing operations,11663.577751652792,10.0
Grota do Cirilo,South America,Brazil,Existing operations,15382.629246038983,36.7
Pilgangoora,Oceania,Australia,Existing operations,11385.945716576176,87.45
Mt Marion,Oceania,Australia,Existing operations,12022.5,93.5
Bikita,Africa,Zimbabwe,Existing operations,17830.77793135788,66.0
Pilgangoora Phase 3,Oceania,Australia,Speculative projects,12110.0,41.15
North American Lithium,North America,Canada,Existing operations,13254.355765210254,22.9805
Kathleen Valley,Oceania,Australia,Existing operations,11450.0,81.6
Mt Cattlin,Oceania,Australia,Existing operations,13609.798271616917,28.69
Marble Bar,Oceania,Australia,Speculative projects,10780.92150454077,0.0
Manna,Oceania,Australia,Speculative projects,13575.000000000002,0.0
Georgia Lake,North America,Canada,Speculative projects,16281.621332064224,14.72
Authier,North America,Canada,Possible projects,13575.000000000002,16.93
Hotan,Asia,China,Existing operations,10940.02599752995,20.0
Rose,North America,Canada,Speculative projects,18344.556863706996,8.7
Moblan,North America,Canada,Speculative projects,16580.0225,18.0
Goulamina,Africa,Mali,Existing operations,14181.541949920238,75.08
Manono,Africa,Democratic Republic of the Congo,Possible projects,14260.72894286601,25.0
Alvarrões,Europe,Portugal,Existing operations,20158.28686879276,4.26
Bougoni,Africa,Mali,Existing operations,17898.38382052076,17.68
Karibib,Africa,Namibia,Existing operations,28992.44749437233,1.0
Rapasaari and Syväjärvi,Europe,Finland,Committed projects,8152.367599403604,12.6
Sabi Star,Africa,Zimbabwe,Existing operations,12671.39514777231,27.3
Mina da Cachoeira,South America,Brazil,Existing operations,8641.89,6.0
Finniss,Oceania,Australia,Existing operations,10249.98891784375,24.81
Arcadia,Africa,Zimbabwe,Existing operations,20936.402496725736,51.93
Ewoyaa,Africa,Ghana,Probable projects,17106.5,20.0
Lijiagou,Asia,China,Existing operations,11321.19764393718,0.0
Nemaska,North America,Canada,Possible projects,11997.364530166624,31.69
Kamativi,Africa,Zimbabwe,Existing operations,13500.0,43.3
Xiangyuan,Asia,China,Existing operations,12479.218141940635,25.0
Sandawana,Africa,Zimbabwe,Existing operations,16006.15994063906,6.0
Zulu,Africa,Zimbabwe,Existing operations,16979.237684264386,7.42
Mibra,South America,Brazil,Existing operations,9760.381510055542,12.24
Baishuidong,Asia,China,Existing operations,11663.577751652792,12.0
Dahongliutan,Asia,China,Existing operations,11663.577751652792,30.0
Jianxiawo,Asia,China,Existing operations,12515.509460886089,41.7
Jinzifeng,Asia,China,Speculative projects,13870.089410984296,0.0
Ningdu Heyuan,Asia,China,Existing operations,11663.577751652792,7.23
Tongan,Asia,China,Existing operations,14497.98,3.13
Yichun Xinfang Tanni,Asia,China,Existing operations,11663.577751652792,10.0
Yifeng Shiziling,Asia,China,Existing operations,11663.577751652792,10.0
Mibra Phase 2,South America,Brazil,Speculative projects,9859.780813334559,5.44
Shuinan,Asia,China,Committed projects,15163.2,0.0
Kings Mountain,North America,United States,Possible projects,12707.8207776046,50.0
Mina do Barroso,Europe,Portugal,Possible projects,15758.40389108225,0.0
San Jose,Europe,Spain,Speculative projects,14915.870138593229,15.0
Wolfsberg,Europe,Austria,Speculative projects,12957.28156704169,0.0
Zinnwald,Europe,Germany,Speculative projects,14420.95968180603,7.26
Wodgina,Oceania,Australia,Existing operations,12475.282900243568,122.0
Mt Holland,Oceania,Australia,Existing operations,9043.07278090496,50.0
Bald Hill,Oceania,Australia,Existing operations,11450.0,20.4
Bald Hill Phase 2,Oceania,Australia,Possible projects,13113.5,0.0
Greenbushes,Oceania,Australia,Existing operations,8143.506,246.31
Georgia Lake,North America,Canada,Speculative projects,16281.62133206422,14.72
Polokhivske,Europe,Ukraine,Speculative projects,14190.6549302467,29.68
CBL,South America,Brazil,Existing operations,10385.876837685471,0.0
Gyabjeka Spodumene Deposit,Asia,China,Existing operations,11902.37244589717,0.0
Yichun 414 Tanni,Asia,China,Existing operations,12601.92288849633,50.0
Ngungaju,Oceania,Australia,Existing operations,10780.92150454077,0.0
Val-d’Or,North America,Canada,Existing operations,11760.67102185065,30.0
Dagang,Asia,China,Existing operations,12182.57809975299,40.0
Huashan,Asia,China,Existing operations,13025.78395119677,60.0
Barkam,Asia,China,Existing operations,11902.37244589717,0.0
Jiajika,Asia,China,Existing operations,10940.07828335946,29.58
Blesberg,Africa,South Africa,Existing operations,16179.75232837052,3.0
Tanco,North America,Canada,Existing operations,12703.891077335991,3.6
Grota do Cirilo Phase 2,South America,Brazil,Committed projects,9877.895640948784,35.0
Neves,South America,Brazil,Committed projects,8988.073588105086,44.4
Tongan Dangtian,Asia,China,Committed projects,12154.15461942215,10.0
Xiangyuan Phase 2,Asia,China,Speculative projects,11705.53773226699,25.0
Greenbushes Phase 4,Oceania,Australia,Committed projects,8662.5,77.2
Sandawana Phase 2,Africa,Zimbabwe,Probable projects,14336.27441920797,54.0
Uis I Phase 2,Africa,Namibia,Possible projects,14726.30452883667,14.5
Galaxy,North America,Canada,Possible projects,12611.65493218418,20.0
Grota do Cirilo Phase 3,South America,Brazil,Possible projects,9877.895640948784,35.0
Salinas,South America,Brazil,Speculative projects,9386.127848093187,55.0
Barkam Phase 2,Asia,China,Probable projects,9446.657885056546,32.89
Dechenongba,Asia,China,Probable projects,8084.007333085957,44.51
Murong,Asia,China,Probable projects,9255.733462425038,7.0
Greenbushes Phase 5,Oceania,Australia,Probable projects,8662.5,77.16
Kathleen Valley Phase 2,Oceania,Australia,Speculative projects,10780.92150454077,0.0
Pilgangoora Phase 4,Oceania,Australia,Probable projects,8735.12556599949,80.0
Wodgina Phase 3,Oceania,Australia,Possible projects,10780.92150454077,0.0
Bougoni Phase 2,Africa,Mali,Possible projects,14479.269966452539,19.0
Ewoyaa Phase 2,Africa,Ghana,Speculative projects,13518.25211092579,35.3
Goulamina Phase 2,Africa,Mali,Possible projects,13300.27112359867,40.0
Bandeira,South America,Brazil,Possible projects,10080.471073124168,24.2
Carolina,North America,United States,Possible projects,14167.994751781469,10.0
Lijiagou Phase 2,Asia,China,Possible projects,9691.321030907442,22.5
Songshugang,Asia,China,Possible projects,12092.81130050282,10.0
Xikeng,Asia,China,Possible projects,14772.50025875837,0.0
Yajiang Cuola,Asia,China,Possible projects,7713.441299365129,13.0
Mt Holland Phase 2,Oceania,Australia,Speculative projects,8125.008315762083,50.0
Karibib Phase 2,Africa,Namibia,Speculative projects,16517.03913553452,5.52
Kenticha,Africa,Ethiopia,Speculative projects,16054.376667805582,0.0
Uis II,Africa,Namibia,Speculative projects,19134.83115282023,0.0
PAK & Spark,North America,Canada,Speculative projects,12611.65493218418,20.0
Raleigh Lake,North America,Canada,Speculative projects,12349.588368041459,0.0
Separation Rapids,North America,Canada,Speculative projects,13329.89526749041,12.85
Aketasi,Asia,China,Speculative projects,9109.419451255992,10.0
Daqianggou,Asia,China,Speculative projects,11769.152453269211,0.0
Jiajika Phase 2,Asia,China,Speculative projects,9725.31421596749,17.0
Jiajika X03,Asia,China,Speculative projects,11769.152453269211,0.0
Jianxiawo Phase 2,Asia,China,Speculative projects,14772.50025875837,0.0
Shaotangou,Asia,China,Speculative projects,11769.152453269211,0.0
Tongan Diyi,Asia,China,Speculative projects,14621.43015470729,0.0
Tongan Ejing,Asia,China,Speculative projects,14621.43015470729,0.0
Yeweiling,Asia,China,Speculative projects,14772.50025875837,0.0
Yichun Greenfield,Asia,China,Speculative projects,14772.50025875837,0.0
Avalonia,Europe,Ireland,Speculative projects,15758.40389108225,0.0
Beauvoir,Europe,France,Speculative projects,13737.78945172474,29.93
Cinovec,Europe,Czech Republic,Speculative projects,18871.087395672588,0.0
St Austell,Europe,United Kingdom,Speculative projects,14807.8279689159,20.0
Trelavour,Europe,United Kingdom,Speculative projects,17234.533685617218,6.87
Barrow Creek,Oceania,Australia,Speculative projects,10780.92150454077,0.0
Mallina,Oceania,Australia,Speculative projects,10780.92150454077,0.0
Mt Bevan,Oceania,Australia,Speculative projects,10780.92150454077,0.0
Mt Edon,Oceania,Australia,Speculative projects,10780.92150454077,0.0
Mt Ida,Oceania,Australia,Speculative projects,10780.92150454077,0.0
Thacker Pass,North America,United States,Committed projects,14955.577510620938,40.0
Sonora,South America,Mexico,Speculative projects,19669.56800794211,0.0
Boron,North America,United States,Existing operations,25000.0,1.5
Falchani,South America,Peru,Speculative projects,15830.65128830804,23.15
Rhyolite Ridge,North America,United States,Probable projects,15728.07355502618,20.6
Jadar ,Europe,Serbia,Probable projects,15167.90906663352,20.0
Clayton Valley I,North America,United States,Possible projects,16815.71237883658,7.0
Big Sandy,North America,United States,Speculative projects,19669.56800794211,0.0
Clayton North,North America,United States,Speculative projects,19669.56800794211,0.0
McDermitt,North America,United States,Speculative projects,19669.56800794211,0.0
Teels Marsh Valley,North America,United States,Speculative projects,13243.63911943088,0.0
Thacker Pass Phase 2,North America,United States,Speculative projects,16674.31344115668,10.0
Tonopah Flats,North America,United States,Speculative projects,19669.56800794211,0.0
Tonopah II,North America,United States,Speculative projects,19669.56800794211,0.0
Zeus,North America,United States,Speculative projects,19669.56800794211,0.0
